"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"Pneumocócica(1º ref)";"97,84";"59,39";"79,07";"90,61";"61,61";"65,34";"86,36";"76,56";"78,49";"102,20";"84,08";"81,12";"91,60";"84,17";"88,72";"82,60";"94,11";"94,17";"91,70";"92,71";"98,23";"99,89";"81,50";"111,02";"89,78";"85,50";"67,91";"88,35"
"Meningococo C (1º ref)";"92,16";"57,90";"80,67";"88,63";"61,71";"72,77";"83,17";"77,06";"76,34";"101,32";"86,11";"77,87";"93,92";"75,64";"86,21";"84,20";"92,73";"91,38";"90,20";"94,42";"91,27";"101,32";"82,05";"106,37";"91,47";"84,25";"58,93";"87,85"
"Poliomielite(1º ref)";"97,24";"57,94";"82,98";"99,15";"58,78";"73,15";"76,89";"77,12";"61,01";"105,14";"82,64";"75,59";"97,16";"80,99";"86,56";"84,20";"84,83";"89,37";"87,69";"90,27";"83,08";"83,35";"74,75";"100,05";"86,69";"78,32";"69,33";"84,52"
"Tríplice Viral  D1";"109,00";"84,21";"95,42";"108,45";"71,92";"89,02";"94,70";"90,47";"81,22";"110,83";"94,98";"93,67";"97,81";"98,67";"91,99";"90,18";"100,11";"99,04";"105,42";"97,91";"99,44";"103,42";"87,81";"112,53";"98,71";"94,83";"67,58";"96,07"
"Tríplice Viral  D2";"94,61";"51,69";"78,17";"92,42";"45,78";"74,65";"61,33";"74,36";"62,91";"93,98";"79,89";"64,46";"87,36";"81,68";"80,95";"78,54";"71,87";"87,48";"89,41";"92,43";"78,91";"83,72";"69,36";"80,03";"80,55";"68,14";"65,43";"79,94"
"Tetra Viral(SRC+VZ)";"94,63";"49,30";"77,43";"92,53";"37,78";"71,14";"52,17";"72,06";"48,23";"94,42";"79,93";"57,99";"85,85";"81,19";"74,59";"73,66";"66,03";"85,88";"90,55";"94,64";"74,68";"80,70";"59,93";"70,74";"76,73";"63,24";"66,33";"77,37"
"DTP";"104,63";"81,30";"94,65";"96,87";"73,15";"84,67";"98,76";"91,80";"82,32";"106,80";"90,80";"93,65";"103,69";"91,59";"94,07";"94,20";"101,00";"100,23";"99,72";"99,76";"101,61";"105,55";"91,77";"118,36";"101,82";"95,43";"67,73";"96,90"
"Tríplice Bacteriana(DTP)(1º ref)";"95,82";"62,70";"78,68";"88,27";"60,52";"73,06";"83,28";"79,95";"75,27";"97,43";"83,25";"73,19";"93,27";"87,36";"86,71";"84,26";"91,62";"92,15";"83,78";"91,84";"85,13";"92,37";"78,56";"103,33";"90,07";"82,26";"60,44";"85,78"
"Dupla adulto e tríplice acelular gestante";"73,92";"17,13";"51,92";"52,24";"14,44";"53,81";"15,24";"47,52";"19,58";"74,50";"55,24";"32,21";"66,24";"45,23";"50,51";"41,62";"29,85";"56,78";"46,37";"59,91";"29,54";"43,30";"25,94";"51,22";"52,95";"25,36";"62,84";"45,57"
"dTpa gestante";"64,65";"12,08";"49,29";"43,67";"9,71";"41,29";"16,55";"40,72";"15,05";"57,40";"41,42";"29,79";"59,77";"41,10";"39,36";"40,12";"35,56";"59,81";"54,41";"61,09";"37,65";"49,21";"24,78";"44,57";"41,69";"35,39";"53,29";"44,97"
"Tetravalente (DTP/Hib) (TETRA)";"103,36";"83,71";"93,31";"97,62";"72,65";"80,87";"96,74";"90,15";"85,15";"106,55";"95,51";"90,80";"102,17";"95,89";"92,44";"93,21";"99,15";"98,74";"100,98";"96,25";"98,87";"104,44";"91,79";"116,68";"100,81";"92,00";"64,46";"95,49"
"Ignorado";"229,39";"158,09";"175,09";"251,39";"134,96";"193,82";"231,40";"220,34";"193,29";"228,68";"162,76";"189,23";"213,50";"206,82";"170,77";"186,98";"260,67";"208,36";"176,96";"192,49";"183,57";"198,50";"194,61";"201,75";"193,42";"219,53";"105,84";"196,58"
"Total";"111,27";"75,54";"94,95";"105,27";"67,51";"88,75";"92,37";"94,40";"80,68";"107,71";"89,17";"86,34";"101,09";"92,74";"91,00";"93,06";"100,33";"98,39";"96,14";"98,63";"96,41";"100,69";"87,69";"113,07";"100,32";"93,55";"71,55";"95,07"
