Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Prazo Contratual;Situação
FMS       ;PE 210/2018;PREGÃO ELETRÔNICO;LOCAÇÃO DE EQUIPAMENTOS DE LABORATÓRIO TOTALMENTE AUTOMATIZADOS E INTEGRADOS, COM FORNECIMENTO DE INSUSMOS PARA A REALIZAÇÃO DE TESTES DE IDENTIFICAÇÃO AUTOMATIZADAS PARA BACTÉRIAS E ANTIBIOGRAMA EM CARTÕES OU PAINÉIS, COMPREENDENDO A ASSISTÊNCIA TÉCNICA-CIENTÍFICA E MANUTENÇÃO PREVENTIVA E CORRETIVA PARA O LABORATÓRIO MUNICIPAL DE CURITIBA DA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 1.079.390,00;Rua Primo Lourenço Tosin, 1021 Novo Mundo Laboratório Municipal;04/02/2019;01-120483/2018;28/03/2021;Confirmado Vencedor
FMS       ;IN 33/2018;Inexigibilidade de Licitação;CONTRATO DE PRESTAÇÃO DE SERVIÇOS AO SISTEMA ÚNICO DE SAÚDE COM A IMPLANTAÇÃO DE UMA UNIDADE DE CUIDADOS CONTINUADOS A INTEGRADOS PARA USUÁRIOS DE SUS ENGRESSOS DOS HOSPITAIS GERAIS DA REDE SUS, RETAGUARDA À REDE DE ATENÇÃO ÀS URGÊNCIAS E DEMAIS REDES DE ATENÇÃO A SAÚDE.;R$ 2.400.504,00;RUA FRANCISCO TORRES, 830 - SMS;21/12/2018;01-140831/2018;01/01/2021;Confirmado Vencedor
FMS       ;IN 1/2019;Inexigibilidade de Licitação;CONTRATO PARA EXECUÇÃO DE SERVIÇOS DE ATENÇÃO À SAÚDE A NÍVEL AMBULATORIAL E HOSPITALAR AOS USUÁRIOS DO SUS/CURITIBA, COM O HOSPITAL UNIVERSITÁRIO EVANGÉLICO MACKENZIE - HUEM.;R$ 131.500.003,56;RUA FRANCISCO TORRES, 830 - SMS;18/01/2019;01-143500/2018;17/02/2021;Confirmado Vencedor
FMS       ;PE 7/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO MÉDICO-HOSPITALAR (SOLUÇÕES), ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 662.940,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA - PR;06/02/2019;01-005818/2019;29/04/2020;Parcialmente Empenhado
FMS       ;PE 10/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI;R$ 6.423.999,25;Rua João Bettega, 3350 CIC - Almoxarifado da SMS;11/02/2019;01-009068/2019;30/04/2020;Parcialmente Empenhado
FMS       ;PE 17/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 163.709,60;R. João Bettega, 3350 - CIC - Almoxarifado SMS;18/02/2019;01-008094/2019;29/05/2020;Empenhado
SME       ;PE 29/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE URBANO DE PASSAGEIROS, NA FORMA DE FRETAMENTO, DESTINADO AOS ESTUDANTES/CRIANÇAS REGULARMENTE MATRICULADAS NA REDE MUNICIPAL DE ENSINO, EM VIRTUDE DA OFERTA DE EDUCAÇÃO INTEGRAL, PELO PERÍODO DE 24 (VINTE E QUATRO) MESES, PARA ATENDER A SECRETARIA MUNICIPAL DA EDUCAÇÃO DE CURITIBA.;R$ 2.782.001,00;Conforme edital;19/03/2019;01-022126/2019;11/05/2021;Confirmado Vencedor
SEPLAD    ;PE 54/2019;PREGÃO ELETRÔNICO;Contratação de Serviços de Locação de Cabines Sanitárias,  através do sistema de Registro de Preços, pelo período de 12 meses. ;R$ 686.997,50;conforme edital;03/04/2019;01-136839/2018;05/06/2020;Empenhado
FAAC      ;PE 1/2019;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAIS DE CONSUMO ( FILME STRECH, SACO PLÁSTICO, BOBINA E ETIQUETA) ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS PELO PERÍODO DE DOZE MESES;R$ 340.794,14;CONFORME RECIBO DE ENTREGAS.;09/04/2019;01-030544/2019;28/05/2020;Parcialmente Empenhado
FMS       ;PE 39/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE EQUIPAMENTOS COLETORES PARA ESTOMIAS E PRODUTOS ADJUVANTES, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO.;R$ 5.393.716,50;Almoxarifado da SMS- AV. João Bettega, 3350-CIC;17/04/2019;01-025677/2019;14/06/2020;Parcialmente Empenhado
SEPLAD    ;PE 71/2019;PREGÃO ELETRÔNICO;Contratação de pessoa jurídica especializada na prestação de serviços de agenciamento para fornecimento de passagens aéreas e terrestres, nacionais e internacionais, hospedagens, fretamento de ônibus, locação de veículos e aeronaves e serviços complementares, que pela sua natureza e especificidade, se incluam no âmbito de atuação das agências de viagens, por meio de atendimento remoto (e-mail, telefone e fornecimento do sistema selfbooking).;R$ 1.810.600,00;Conforme recido de entrega;22/04/2019;01-015948/2019;18/12/2021;Confirmado Vencedor
FMS       ;PE 43/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTA PARA FORNECIMENTO DE EQUIPOS PARA BOMBA DE INFUSÃO (COM FORNECIMENTO EM COMODATO DE 200 (DUZENTAS) BOMBAS DE INFUSÃO), ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 252.000,00;Rua João Bettega, 3350 - CIC Almoxarifado SMS.;22/04/2019;01-011244/2019;31/07/2020;Empenhado
FMS       ;PE 44/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 8.034.050,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;25/04/2019;01-043559/2019;18/06/2020;Parcialmente Empenhado
FMS       ;PE 45/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO PARA LABORATÓRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 608.640,00;RUA PRIMO LOURENÇO TOSIN, 1021 NOVO MUNDO- CURITIBA-PR;06/05/2019;01-033418/2019;22/07/2020;Empenhado
SEPLAD    ;PE 114/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÕES E MANUTENÇÕES PREVENTIVAS E CORRETIVAS, COM FORNECIMENTOS DE MATERIAIS E COMPONENTES, EM REDE TELEFÔNICAS E LÓGICAS PREDIAIS, PARA AS UNIDADES ADMINISTRATIVAS DA PREFEITURA MUNICIPAL DE CURITIBA, PELO SISTEMA DE REGISTRO DE PREÇOS PELO PERÍODO DE 12 (DOZE) MESES.;R$ 1.028.229,35;Conforme recibo de emtrega;28/05/2019;01-018595/2019;01/07/2020;Parcialmente Empenhado
FMS       ;PE 55/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE INSUMOS PARA LABORATÓRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITEM EXCLUSIVO PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO.;R$ 340.000,00;Almoxarifado do Laboratório-rua Primo Lourenço Tosin  nº 1.021;04/06/2019;01-049625/2019;06/08/2020;Parcialmente Empenhado
FMS       ;PE 58/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE EQUIPAMENTOS DE LABORATÓRIO TOTALMENTE AUTOMATIZADOS, COM FORNECIMENTO DE INSUMOS PARA REALIZAÇÃO DE TESTES DE HEMATOLOGIA, COMPREENDENDO A ASSISTÊNCIA TÉCNICA-CIENTÍFICA E MANUTENÇÃO PREVENTIVA E CORRETIVA PARA O LABORATÓRIO MUNICIPAL DE CURITIBA DA SECRETARIA MUNICIPAL DA SAÚDE, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 1.435.272,72;Rua Primo Lourenço Tosin, nº 1021 - Bairro Novo Mundo - Curitiba-PR;05/06/2019;01-036053/2019;07/07/2021;Confirmado Vencedor
FMS       ;PE 59/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE DIETAS ENTERAIS E FÓRMULAS INFANTIS ESPECIAIS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO;R$ 4.707.213,66;R. João Bettega, 3350 - CIC - Almoxarifado SMS;05/06/2019;01-042356/2019;31/07/2020;Parcialmente Empenhado
FMS       ;PE 63/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 2.936.178,50;Rua João Bettega, 3350 - CIC Almoxarifado SMS.;10/06/2019;01-055105/2019;03/09/2020;Parcialmente Empenhado
FMS       ;PE 180/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO CORRETIVA DE MÓVEIS MÉDICO-HOSPITALARES, COM FORNECIMENTO DE MÃO DE OBRA ESPECIALIZADA, PEÇAS E ACESSÓRIOS, PARA A SECRETARIA MUNICIPAL DA SAÚDE, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 68.750,00;CONFORME ITEM 10 DO EDITAL DE EMBASAMENTO.;22/11/2019;01-111583/2019;11/12/2021;Confirmado Vencedor
FMAS      ;PE 40/2019;PREGÃO ELETRÔNICO;AQUISIÇÃO DE GENÊROS ALIMENTÍCIOS PERECÍVEIS, PARA SUPRIR AS DEMANDAS DAS UNIDADES DE ACOLHIMENTO INSTITUCIONAIS DA FUNDAÇÃO DE AÇÃO SOCIAL, ATRAVÉS DO SISTEMA REGISTRO DE PREÇOS..;R$ 452.228,00;CONFORME EMPENHO;06/12/2019;01-133799/2019;24/04/2021;Parcialmente Empenhado
